re,method,status,start_time,end_time,exit_code,output_dir,stdout_log,stderr_log
1e2,fno,running,2026-06-13 20:45:37,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e02\fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_fno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_fno.err.log
1e2,fno,finished,2026-06-13 20:45:37,2026-06-13 20:48:09,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e02\fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_fno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_fno.err.log
1e2,cfno,running,2026-06-13 20:48:09,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e02\cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_cfno.err.log
1e2,cfno,finished,2026-06-13 20:48:09,2026-06-13 20:52:21,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e02\cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_cfno.err.log
1e2,hf_cfno,running,2026-06-13 20:52:21,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e02\hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_hf_cfno.err.log
1e2,hf_cfno,finished,2026-06-13 20:52:21,2026-06-13 20:58:33,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e02\hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_hf_cfno.err.log
1e2,subgrid_hf_cfno,running,2026-06-13 20:58:33,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e02\subgrid_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_subgrid_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_subgrid_hf_cfno.err.log
1e2,subgrid_hf_cfno,finished,2026-06-13 20:58:33,2026-06-13 21:06:00,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e02\subgrid_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_subgrid_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e02_subgrid_hf_cfno.err.log
1e3,fno,running,2026-06-13 21:06:00,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e03\fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_fno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_fno.err.log
1e3,fno,finished,2026-06-13 21:06:00,2026-06-13 21:08:29,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e03\fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_fno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_fno.err.log
1e3,cfno,running,2026-06-13 21:08:29,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e03\cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_cfno.err.log
1e3,cfno,finished,2026-06-13 21:08:29,2026-06-13 21:13:02,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e03\cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_cfno.err.log
1e3,hf_cfno,running,2026-06-13 21:13:02,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e03\hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_hf_cfno.err.log
1e3,hf_cfno,finished,2026-06-13 21:13:02,2026-06-13 21:19:37,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e03\hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_hf_cfno.err.log
1e3,subgrid_hf_cfno,running,2026-06-13 21:19:37,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e03\subgrid_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_subgrid_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_subgrid_hf_cfno.err.log
1e3,subgrid_hf_cfno,finished,2026-06-13 21:19:37,2026-06-13 21:27:19,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e03\subgrid_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_subgrid_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_subgrid_hf_cfno.err.log
1e4,fno,running,2026-06-13 21:27:19,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e04\fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_fno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_fno.err.log
1e4,fno,finished,2026-06-13 21:27:19,2026-06-13 21:29:46,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e04\fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_fno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_fno.err.log
1e4,cfno,running,2026-06-13 21:29:46,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e04\cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_cfno.err.log
1e4,cfno,finished,2026-06-13 21:29:46,2026-06-13 21:34:34,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e04\cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_cfno.err.log
1e4,hf_cfno,running,2026-06-13 21:34:34,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e04\hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_hf_cfno.err.log
1e4,hf_cfno,finished,2026-06-13 21:34:34,2026-06-13 21:40:59,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e04\hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_hf_cfno.err.log
1e4,subgrid_hf_cfno,running,2026-06-13 21:40:59,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e04\subgrid_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_subgrid_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_subgrid_hf_cfno.err.log
1e4,subgrid_hf_cfno,finished,2026-06-13 21:40:59,2026-06-13 21:48:37,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e04\subgrid_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_subgrid_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_subgrid_hf_cfno.err.log
1e5,fno,running,2026-06-13 21:48:37,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e05\fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e05_fno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e05_fno.err.log
1e5,fno,finished,2026-06-13 21:48:37,2026-06-13 21:51:07,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e05\fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e05_fno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e05_fno.err.log
1e5,cfno,running,2026-06-13 21:51:07,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e05\cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e05_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e05_cfno.err.log
1e5,cfno,finished,2026-06-13 21:51:07,2026-06-13 21:56:16,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e05\cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e05_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e05_cfno.err.log
1e5,hf_cfno,running,2026-06-13 21:56:16,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e05\hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e05_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e05_hf_cfno.err.log
1e5,hf_cfno,finished,2026-06-13 21:56:16,2026-06-13 22:04:57,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e05\hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e05_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e05_hf_cfno.err.log
1e5,subgrid_hf_cfno,running,2026-06-13 22:04:57,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e05\subgrid_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e05_subgrid_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e05_subgrid_hf_cfno.err.log
1e5,subgrid_hf_cfno,finished,2026-06-13 22:04:57,2026-06-13 22:15:21,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e05\subgrid_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e05_subgrid_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e05_subgrid_hf_cfno.err.log
1e6,fno,running,2026-06-13 22:15:21,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e06\fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e06_fno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e06_fno.err.log
1e6,fno,finished,2026-06-13 22:15:21,2026-06-13 22:18:56,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e06\fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e06_fno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e06_fno.err.log
1e6,cfno,running,2026-06-13 22:18:56,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e06\cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e06_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e06_cfno.err.log
1e6,cfno,finished,2026-06-13 22:18:56,2026-06-13 22:24:44,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e06\cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e06_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e06_cfno.err.log
1e6,hf_cfno,running,2026-06-13 22:24:44,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e06\hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e06_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e06_hf_cfno.err.log
1e6,hf_cfno,finished,2026-06-13 22:24:44,2026-06-13 22:33:47,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e06\hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e06_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e06_hf_cfno.err.log
1e6,subgrid_hf_cfno,running,2026-06-13 22:33:47,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e06\subgrid_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e06_subgrid_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e06_subgrid_hf_cfno.err.log
1e6,subgrid_hf_cfno,finished,2026-06-13 22:33:47,2026-06-13 22:44:32,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e06\subgrid_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e06_subgrid_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e06_subgrid_hf_cfno.err.log
1e7,fno,running,2026-06-13 22:44:32,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e07\fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e07_fno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e07_fno.err.log
1e7,fno,finished,2026-06-13 22:44:32,2026-06-13 22:48:11,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e07\fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e07_fno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e07_fno.err.log
1e7,cfno,running,2026-06-13 22:48:11,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e07\cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e07_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e07_cfno.err.log
1e7,cfno,finished,2026-06-13 22:48:11,2026-06-13 22:53:54,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e07\cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e07_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e07_cfno.err.log
1e7,hf_cfno,running,2026-06-13 22:53:54,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e07\hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e07_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e07_hf_cfno.err.log
1e7,hf_cfno,finished,2026-06-13 22:53:54,2026-06-13 23:02:36,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e07\hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e07_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e07_hf_cfno.err.log
1e7,subgrid_hf_cfno,running,2026-06-13 23:02:36,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e07\subgrid_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e07_subgrid_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e07_subgrid_hf_cfno.err.log
1e7,subgrid_hf_cfno,finished,2026-06-13 23:02:36,2026-06-13 23:12:11,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e07\subgrid_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e07_subgrid_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e07_subgrid_hf_cfno.err.log
